Employee_ID,Age,Attrition,Business_Travel,Department,Distance_From_Home,Education,Environment_Satisfaction,Gender,Salary,Job_Involvement,Job_Level,Job_Role,Job_Satisfaction,Marital_Status,Number_of_Companies_Worked_previously,Overtime,Salary_Hike_in_percent,Total_working_years_experience,Work_life_balance,No_of_years_worked_at_current_company,No_of_years_in_current_role,Years_since_last_promotion
9710,18,No,Travel Rarely,Data Science,43,Graduation,5,FEMALE,192316,4,7,QA Analyst,5,Single,7,Yes,77,6,4,0,1,4
8468,49,No,No Travel,Data Science,48,Degree,4,FEMALE,85817,3,6,Manager,4,Single,5,No,48,15,3,0,5,1
5596,38,No,Travel Rarely,Cyber Security,27,PhD,4,FEMALE,88450,5,2,Developer,2,Divorced,6,Yes,32,9,1,4,2,0
1977,25,No,Travel Rarely,Cyber Security,47,Degree,4,FEMALE,92990,4,1,HR,3,Divorced,2,No,79,2,5,6,8,6
6174,46,No,Travel Rarely,IT Services,19,Degree,1,male,37913,4,7,Manager,4,Married,1,Yes,2,3,3,0,9,8
2330,40,No,Travel Rarely,Cyber Security,23,Below College,4,FEMALE,134709,1,1,Manager,5,Single,10,Yes,60,15,2,2,4,4
9321,28,No,No Travel,Software Development,7,Degree,4,FEMALE,63143,2,4,HR,1,Single,2,No,11,1,4,5,9,4
3036,30,No,Travel Rarely,Network Administration,24,Degree,4,female,135970,2,6,Consultant,3,Single,2,Yes,75,0,1,2,8,0
1330,62,Yes,Travel Rarely,Software Development,49,Degree,1,male,65032,1,5,Director,1,Single,5,Yes,17,0,2,0,5,2
5474,31,No,No Travel,Cyber Security,16,Degree,3,MALE,188030,1,8,HR,1,Single,5,No,53,10,5,7,8,6
5427,30,No,Travel Rarely,Data Science,39,Master's,2,male,145151,2,6,Software Engineer,4,Divorced,6,No,34,12,4,9,0,3
3238,29,No,Travel Rarely,Data Science,2,Degree,5,female,70101,1,6,Business Analyst,1,Married,9,Yes,38,4,2,7,3,7
7096,51,Yes,Travel Rarely,Software Development,22,Master's,5,male,94369,5,8,QA Analyst,5,Single,0,No,15,11,3,8,7,3
9491,28,No,Travel Rarely,Software Development,35,Degree,3,female,63313,2,1,Technician,3,Married,1,Yes,16,1,3,3,7,0
8935,31,No,No Travel,IT Services,40,Below College,3,FEMALE,59552,2,6,Help Desk,1,Married,1,No,6,4,4,1,0,1
7811,58,No,Travel Frequently,Cyber Security,45,Degree,5,FEMALE,47116,5,1,Help Desk,5,Divorced,9,Yes,57,14,3,6,2,0
1538,22,No,Travel Rarely,IT Services,40,Master's,1,FEMALE,61902,5,4,Software Engineer,3,Married,5,No,68,16,5,3,6,0
8740,32,Yes,Travel Rarely,IT Services,14,Graduation,5,FEMALE,62371,2,1,Developer,1,Married,9,No,9,4,1,7,6,1
3870,49,No,No Travel,Software Development,3,Graduation,4,female,96852,1,4,Technician,1,Single,6,No,19,7,5,0,9,7
1872,53,No,Travel Frequently,Network Administration,20,Degree,5,FEMALE,131429,5,4,Manager,5,Divorced,1,Yes,3,3,2,0,4,6
4480,42,No,No Travel,IT Services,10,Degree,1,female,59240,4,3,QA Analyst,5,Married,3,No,21,0,1,5,1,2
409,21,No,No Travel,Network Administration,36,Master's,5,FEMALE,99747,2,5,Business Analyst,5,Single,3,Yes,93,19,3,4,1,7
7182,38,Yes,No Travel,Software Development,41,Degree,1,FEMALE,98923,2,5,Help Desk,3,Married,10,No,78,10,1,10,9,4
4594,49,No,No Travel,Network Administration,44,Degree,4,MALE,90016,2,2,Software Engineer,3,Divorced,8,No,89,4,2,2,5,5
5435,51,No,No Travel,Cyber Security,44,Master's,2,female,175010,5,6,Manager,1,Married,5,No,90,13,1,1,6,1
2818,36,No,No Travel,Data Science,3,Degree,1,female,131719,4,4,QA Analyst,1,Married,4,No,93,2,1,7,8,8
5594,28,No,Travel Rarely,Network Administration,42,Master's,4,male,137249,4,3,Support,,Single,5,No,93,7,3,10,7,5
3820,18,No,Travel Rarely,Software Development,8,PhD,3,male,168909,2,4,Support,1,Married,3,Yes,11,10,3,9,10,8
8000,25,No,Travel Rarely,Data Science,3,Graduation,2,female,68248,3,1,Developer,4,Single,6,No,72,18,5,7,8,3
8996,25,No,No Travel,Network Administration,42,Graduation,3,male,145029,2,6,QA Analyst,2,Married,0,No,22,15,3,5,0,0
3710,46,No,Travel Frequently,Software Development,47,PhD,5,MALE,100676,2,2,Developer,2,Divorced,0,No,2,0,4,0,10,8
9754,40,No,Travel Rarely,Data Science,23,Master's,1,MALE,142242,3,8,IT,,Single,8,No,41,5,2,6,2,5
2688,36,Yes,Travel Rarely,Cyber Security,40,Degree,1,female,47544,1,6,Help Desk,2,Single,8,Yes,33,18,1,9,1,4
3998,55,No,Travel Frequently,Data Science,47,PhD,5,MALE,56111,4,1,QA Analyst,5,Divorced,5,No,67,6,4,10,8,1
8278,26,No,No Travel,Cyber Security,38,Graduation,2,female,143461,1,1,Director,2,Divorced,0,No,15,19,3,0,0,5
7248,54,No,Travel Rarely,Network Administration,40,Master's,4,female,160109,2,6,Software Engineer,3,Divorced,3,No,17,20,3,10,8,1
6025,49,Yes,Travel Rarely,Network Administration,41,PhD,2,MALE,185687,4,4,QA Analyst,1,Single,2,Yes,61,7,1,8,4,2
6492,54,No,No Travel,Cyber Security,21,Below College,4,female,138114,1,4,Manager,1,Married,1,Yes,40,12,4,4,7,6
3905,43,No,Travel Frequently,Cyber Security,29,Degree,4,female,164659,2,7,Manager,3,Married,9,No,41,0,4,0,4,1
5178,30,No,Travel Rarely,Network Administration,8,Graduation,4,female,132950,3,1,QA Analyst,2,Single,1,No,46,10,1,1,5,4
1961,40,No,Travel Rarely,Cyber Security,9,Graduation,5,male,81181,3,2,Consultant,3,Married,1,Yes,99,15,5,3,4,5
2135,61,No,Travel Rarely,IT Services,19,Master's,2,MALE,87261,4,5,IT,3,Divorced,3,No,75,4,1,3,9,0
9714,33,Yes,Travel Frequently,Software Development,29,PhD,4,male,42873,4,8,Developer,1,Single,8,No,14,0,5,0,3,3
6615,58,No,Travel Frequently,Data Science,6,Graduation,3,female,46421,3,7,Help Desk,4,Divorced,2,No,48,1,4,0,4,8
2949,24,Yes,Travel Rarely,Data Science,16,Master's,2,male,59892,5,6,Director,4,Single,1,No,21,0,3,6,1,6
8881,24,Yes,No Travel,Data Science,42,Graduation,3,female,191661,5,2,IT,2,Divorced,1,Yes,82,6,5,1,4,0
2349,29,No,Travel Rarely,Network Administration,23,Degree,5,MALE,151720,1,2,Director,1,Divorced,5,Yes,27,12,3,6,1,0
9578,47,No,Travel Rarely,Network Administration,31,Degree,4,FEMALE,30217,4,6,Consultant,5,Single,5,Yes,17,15,5,8,4,0
2265,59,No,Travel Rarely,Network Administration,35,Graduation,4,FEMALE,139685,1,8,Help Desk,4,Divorced,1,No,9,9,4,9,5,3
3385,41,No,Travel Frequently,Cyber Security,35,Master's,5,FEMALE,57062,1,7,Consultant,1,Married,6,Yes,11,3,2,2,1,8
7991,63,No,Travel Rarely,Software Development,14,Degree,3,MALE,107349,3,6,Help Desk,4,Married,2,No,55,10,2,3,7,5
5862,22,No,No Travel,IT Services,3,Degree,1,male,172768,3,2,HR,3,Single,4,Yes,36,17,1,10,4,0
1925,50,No,Travel Rarely,Cyber Security,25,Master's,1,female,46038,2,4,Help Desk,5,Single,9,No,99,19,4,1,10,2
9082,30,No,No Travel,Software Development,15,PhD,3,male,122868,1,4,Help Desk,1,Divorced,5,No,91,3,5,2,5,0
7246,35,No,No Travel,IT Services,8,Master's,3,male,39922,4,6,Business Analyst,5,Married,4,No,90,0,1,7,0,0
5970,36,No,Travel Rarely,Network Administration,15,Master's,5,male,62483,5,7,Help Desk,4,Single,10,No,56,12,2,7,5,2
7463,21,No,Travel Rarely,Cyber Security,45,Graduation,5,FEMALE,181333,3,2,Technician,2,Single,8,No,3,13,1,1,9,5
6043,31,No,Travel Rarely,IT Services,42,Graduation,3,female,42677,1,8,Technician,2,Divorced,7,No,75,14,3,7,6,7
2063,19,No,Travel Rarely,Network Administration,8,Graduation,5,male,37397,3,6,Business Analyst,1,Single,5,No,86,17,3,0,4,8
7468,53,No,Travel Rarely,Cyber Security,36,Degree,4,MALE,107146,5,1,IT,1,Married,10,No,79,18,5,10,3,4
6279,21,No,Travel Frequently,Software Development,36,Degree,2,FEMALE,157366,1,8,Consultant,1,Divorced,0,No,61,16,3,4,2,0
7716,56,No,Travel Rarely,IT Services,5,Graduation,5,MALE,161734,3,4,Manager,1,Single,8,No,54,1,3,5,0,0
2126,45,No,Travel Rarely,Cyber Security,42,Degree,4,FEMALE,192859,2,6,QA Analyst,1,Single,5,No,13,1,4,10,8,2
8792,26,No,No Travel,Cyber Security,3,Graduation,3,FEMALE,55017,1,3,Help Desk,2,Divorced,2,No,66,14,2,9,1,0
646,49,Yes,Travel Rarely,Data Science,26,Master's,1,MALE,126022,1,6,Developer,3,Divorced,2,No,57,0,3,4,6,7
5477,21,No,Travel Rarely,Software Development,25,Graduation,1,female,46250,3,4,Technician,2,Married,6,No,79,5,2,6,0,5
1901,21,No,Travel Rarely,Network Administration,49,Graduation,4,female,111296,2,8,Consultant,1,Divorced,7,No,26,5,1,2,2,2
6413,41,No,Travel Rarely,Network Administration,23,Master's,1,female,100508,5,4,Manager,4,Single,4,No,30,2,3,2,10,1
7324,59,No,No Travel,Data Science,32,Below College,5,FEMALE,39905,5,7,HR,1,Single,10,No,34,19,5,3,8,5
3231,46,No,Travel Rarely,Cyber Security,2,Below College,4,male,57842,2,6,HR,3,Divorced,10,No,70,12,3,10,2,3
4641,34,Yes,Travel Rarely,Data Science,19,Graduation,2,male,78550,3,8,Manager,1,Single,8,No,15,1,4,5,1,6
5023,30,No,Travel Frequently,Network Administration,46,Graduation,4,male,42738,4,7,IT,3,Single,10,No,65,9,3,5,6,8
1642,30,No,Travel Rarely,Software Development,40,Below College,5,male,48903,3,8,Help Desk,3,Single,6,No,86,8,4,4,4,2
2399,44,No,No Travel,Software Development,38,Degree,1,MALE,182821,1,4,Manager,1,Single,10,No,4,15,5,4,2,2
3503,51,No,Travel Frequently,IT Services,5,Graduation,5,MALE,,5,5,Business Analyst,2,Divorced,5,No,11,16,3,5,0,5
9266,46,Yes,Travel Frequently,Data Science,13,Master's,4,FEMALE,59694,5,4,IT,1,Single,7,No,66,14,2,5,3,6
1780,25,No,Travel Frequently,Cyber Security,41,PhD,5,female,34353,1,1,Technician,1,Married,3,No,54,2,5,4,2,2
4362,55,No,Travel Frequently,Cyber Security,32,Degree,3,FEMALE,105732,1,8,HR,1,Single,3,No,77,10,3,3,1,0
4418,49,Yes,Travel Rarely,Cyber Security,32,Master's,2,MALE,78982,1,5,Director,3,Divorced,7,No,55,5,2,9,7,2
6834,61,Yes,Travel Rarely,Data Science,23,Graduation,1,female,171632,2,1,Support,5,Single,7,Yes,16,18,2,5,9,8
6475,35,Yes,Travel Frequently,IT Services,14,Degree,2,male,102197,2,7,Manager,5,Divorced,4,No,95,12,1,1,5,6
6386,62,No,Travel Rarely,IT Services,15,Master's,1,male,158497,1,6,Manager,3,Divorced,8,Yes,38,0,5,4,6,2
885,34,No,Travel Rarely,Software Development,43,Graduation,5,female,69481,1,5,Technician,5,Divorced,0,No,99,14,1,9,6,5
9311,38,Yes,Travel Frequently,Cyber Security,25,PhD,4,FEMALE,119060,4,1,HR,4,Divorced,1,Yes,4,18,3,3,1,6
9909,37,No,Travel Frequently,Data Science,17,Graduation,3,MALE,145442,4,3,QA Analyst,5,Married,4,No,80,19,1,3,0,3
3566,62,No,Travel Rarely,Data Science,5,Degree,2,male,32980,4,2,Developer,3,Married,5,No,22,3,2,2,2,5
5074,26,No,Travel Rarely,Network Administration,14,Master's,2,female,63469,4,6,HR,,Single,1,Yes,7,2,2,1,0,6
7772,20,No,Travel Rarely,IT Services,38,Graduation,3,male,134983,3,4,Support,3,Married,6,No,96,20,3,2,2,0
4805,25,No,Travel Frequently,Software Development,43,Graduation,4,male,44797,4,7,Manager,3,Divorced,0,Yes,93,6,4,10,3,1
6565,27,No,Travel Rarely,Cyber Security,38,Graduation,1,MALE,80710,1,2,Support,5,Married,0,Yes,90,17,3,10,2,2
4377,32,Yes,Travel Rarely,IT Services,44,Degree,1,male,93836,1,6,HR,2,Single,3,Yes,55,12,3,0,1,4
8101,32,No,No Travel,Data Science,44,Degree,5,FEMALE,137919,5,4,Business Analyst,4,Single,5,No,2,3,3,6,1,1
7461,32,Yes,Travel Rarely,Cyber Security,11,Degree,2,male,38620,4,3,Manager,2,Married,9,No,66,1,2,9,4,6
492,60,No,Travel Rarely,Network Administration,26,Master's,1,female,52804,2,4,Technician,3,Divorced,8,No,96,15,2,2,4,1
3661,40,No,Travel Frequently,IT Services,24,Degree,5,FEMALE,65879,3,6,Consultant,4,Divorced,4,Yes,11,2,2,3,2,7
3948,28,No,No Travel,Software Development,40,Degree,5,MALE,140493,4,4,Business Analyst,2,Divorced,0,No,19,20,4,5,1,5
6666,55,No,Travel Rarely,Cyber Security,39,Graduation,4,FEMALE,69954,1,2,Technician,5,Single,7,No,0,6,3,0,5,2
8329,57,No,Travel Rarely,Cyber Security,1,Master's,2,MALE,36629,4,2,Technician,2,Married,3,Yes,25,20,4,1,7,5
9604,36,Yes,Travel Frequently,Cyber Security,21,Graduation,1,female,96987,2,1,Support,1,Married,4,Yes,69,19,4,1,7,4
2119,26,No,Travel Frequently,Cyber Security,47,Master's,1,male,150184,1,5,Help Desk,4,Single,9,No,83,12,3,6,9,0
6796,48,No,Travel Frequently,Cyber Security,23,Degree,2,female,149700,5,4,Business Analyst,5,Divorced,2,No,93,0,3,7,10,2
1982,45,No,Travel Rarely,IT Services,19,Master's,4,female,31820,5,5,Technician,3,Divorced,5,No,68,20,4,1,7,0
1348,28,No,Travel Frequently,Software Development,45,Degree,4,female,188927,2,4,Developer,2,Married,7,No,24,19,4,8,8,4
1647,57,No,Travel Frequently,Network Administration,7,Graduation,1,MALE,107662,1,8,Consultant,5,Single,6,Yes,54,1,2,0,0,3
749,51,No,Travel Frequently,Data Science,43,Graduation,4,male,108677,1,5,Business Analyst,2,Divorced,5,No,64,8,4,9,7,8
7152,48,No,Travel Rarely,Software Development,15,Graduation,5,FEMALE,121154,4,7,Consultant,3,Divorced,8,No,49,5,5,7,3,4
9647,52,No,Travel Frequently,Software Development,19,Degree,2,female,145274,1,2,Software Engineer,4,Single,2,No,48,11,,10,1,4
9485,32,No,Travel Rarely,Software Development,36,Degree,2,MALE,96350,4,6,Software Engineer,2,Divorced,0,No,24,3,3,9,7,3
7647,39,No,Travel Rarely,Data Science,17,Below College,1,female,79392,3,6,Support,3,Single,5,No,49,3,2,2,4,5
3461,54,No,Travel Rarely,IT Services,30,Degree,4,FEMALE,137170,3,1,HR,2,Married,0,No,67,7,3,0,1,4
6033,40,No,Travel Rarely,Software Development,6,Degree,1,MALE,69129,5,8,HR,5,Single,8,Yes,42,7,4,5,10,1
3614,57,No,Travel Rarely,Network Administration,16,Master's,1,female,41166,4,1,Manager,3,Single,7,Yes,45,12,3,2,8,7
9545,43,No,Travel Rarely,Data Science,14,Master's,3,FEMALE,59248,5,7,Manager,5,Married,8,No,77,1,2,6,1,1
4291,29,No,Travel Frequently,Cyber Security,7,Below College,4,female,133050,2,7,Business Analyst,4,Married,4,No,60,18,5,8,6,4
3339,57,No,No Travel,IT Services,24,Master's,2,male,50509,4,5,Consultant,5,Married,7,No,50,18,4,7,3,5
5299,26,Yes,Travel Rarely,Data Science,14,Master's,3,female,118764,2,4,Director,3,Married,10,No,8,7,2,0,10,5
120,61,No,Travel Rarely,Network Administration,1,Graduation,5,female,132303,5,5,IT,2,Married,10,No,86,6,3,8,8,2
9286,33,No,Travel Rarely,IT Services,27,Degree,1,male,80757,2,8,IT,2,Single,3,No,92,17,4,3,10,2
3885,25,Yes,Travel Rarely,Software Development,49,Degree,1,FEMALE,,1,3,Software Engineer,2,Married,4,No,3,4,2,2,0,2
402,54,No,Travel Rarely,Data Science,41,Master's,3,female,181925,1,7,Developer,4,Divorced,6,No,91,18,4,7,4,7
9973,63,No,Travel Rarely,Data Science,35,Degree,1,MALE,174263,4,1,HR,4,Married,2,Yes,11,5,,5,4,3
7373,30,Yes,Travel Rarely,Network Administration,37,Degree,3,FEMALE,156418,4,8,QA Analyst,3,Divorced,0,No,50,7,5,3,0,3
3013,50,No,Travel Rarely,Cyber Security,11,Master's,3,FEMALE,76683,2,7,IT,4,Married,7,No,90,13,4,7,6,0
9699,37,Yes,Travel Rarely,Software Development,44,Degree,2,male,143906,2,1,IT,3,Single,7,No,17,0,2,4,2,4
4762,28,No,Travel Frequently,Network Administration,9,Master's,3,FEMALE,62091,4,2,Software Engineer,5,Single,5,Yes,13,16,4,4,7,1
1931,40,No,Travel Frequently,Data Science,28,Master's,1,MALE,145678,3,6,Software Engineer,4,Single,0,No,5,17,4,1,5,5
1254,53,No,Travel Frequently,Cyber Security,4,Degree,1,male,213780,3,7,Business Analyst,1,Single,9,No,11,5,1,3,8,4
6337,45,No,Travel Rarely,Network Administration,36,Master's,5,male,169971,5,4,IT,4,Single,7,Yes,82,10,,0,6,8
9381,43,No,Travel Frequently,Software Development,20,Master's,2,MALE,120324,1,3,Developer,3,Single,3,No,46,16,3,8,4,1
8262,46,No,Travel Frequently,Cyber Security,45,Master's,4,female,90687,5,4,Support,3,Divorced,9,No,92,19,2,10,9,5
9452,42,No,Travel Rarely,Cyber Security,24,Graduation,4,MALE,67330,4,4,HR,5,Married,7,No,73,13,3,1,8,1
2916,34,No,Travel Rarely,Software Development,4,Master's,1,female,180822,2,6,Business Analyst,5,Married,0,No,73,14,3,3,0,0
3286,26,No,Travel Frequently,Software Development,3,Graduation,4,MALE,119728,4,7,Consultant,2,Divorced,4,No,7,19,1,3,1,5
3071,29,No,Travel Rarely,Software Development,1,Below College,1,FEMALE,63402,5,5,HR,1,Married,6,Yes,18,12,4,0,10,0
7898,62,No,Travel Rarely,IT Services,47,Master's,5,female,169055,5,6,HR,1,Single,5,No,39,12,3,6,0,3
1973,58,No,Travel Rarely,Cyber Security,34,Graduation,5,female,,5,2,HR,5,Married,3,No,43,5,5,1,9,1
658,58,No,No Travel,Network Administration,27,Graduation,4,MALE,65922,1,2,Developer,1,Single,2,No,39,10,5,4,4,7
7829,20,No,Travel Rarely,Network Administration,50,Graduation,5,FEMALE,147443,5,1,Software Engineer,2,Single,4,No,3,12,3,8,7,7
7044,31,No,Travel Rarely,Network Administration,35,Graduation,5,female,81338,4,6,Help Desk,,Married,3,Yes,37,16,4,3,4,1
2971,25,No,Travel Rarely,Data Science,5,Graduation,4,MALE,51015,4,5,HR,1,Divorced,1,Yes,8,19,1,1,1,7
4983,63,No,Travel Rarely,Software Development,3,Graduation,4,MALE,127832,1,4,Help Desk,5,Married,2,No,1,11,4,5,8,8
7178,25,Yes,Travel Frequently,IT Services,31,Below College,4,MALE,123258,3,5,HR,1,Married,1,No,87,4,1,0,0,3
8076,34,No,Travel Rarely,IT Services,33,PhD,1,FEMALE,132848,2,7,Director,2,Divorced,0,No,20,6,1,8,4,0
7188,29,No,No Travel,Network Administration,10,Degree,4,MALE,103075,1,7,QA Analyst,2,Single,6,Yes,41,15,4,10,6,6
3450,43,No,Travel Rarely,IT Services,30,Degree,2,female,163943,3,1,Help Desk,2,Married,6,No,83,3,4,8,2,6
3700,48,No,Travel Frequently,Data Science,16,Master's,4,male,201988,2,2,Manager,1,Single,4,No,30,12,2,1,10,2
7166,36,No,No Travel,Cyber Security,21,Degree,4,FEMALE,131706,3,8,HR,3,Married,9,No,30,3,4,8,10,3
2313,30,No,Travel Rarely,Cyber Security,47,Below College,5,FEMALE,163444,4,8,IT,1,Divorced,2,Yes,82,10,5,5,7,8
9287,50,No,Travel Rarely,Software Development,10,Graduation,4,FEMALE,177039,5,6,Support,5,Married,0,Yes,43,17,5,1,6,4
1669,49,No,No Travel,Network Administration,19,Degree,3,male,167746,4,4,Consultant,,Divorced,0,Yes,9,14,4,3,6,0
4433,44,Yes,Travel Rarely,Software Development,23,Below College,3,MALE,70161,4,1,IT,4,Single,7,Yes,13,1,5,2,2,8
89,62,No,Travel Rarely,Cyber Security,38,Degree,5,male,206948,2,8,IT,5,Single,4,No,29,1,3,4,5,6
3866,54,No,Travel Rarely,Software Development,13,Master's,5,male,52416,1,2,Help Desk,3,Married,3,No,1,18,2,1,6,8
6310,61,No,Travel Rarely,IT Services,42,Below College,3,female,36945,5,7,IT,4,Divorced,10,No,46,13,5,8,2,3
9906,61,No,Travel Rarely,Network Administration,15,Graduation,3,MALE,101932,2,8,HR,2,Single,5,No,70,1,5,3,4,7
6282,20,Yes,Travel Rarely,Software Development,15,Degree,1,male,168980,1,8,Software Engineer,5,Single,3,No,19,13,2,7,10,2
